	title_Chinese	title_English	rate	director	country	year	genre
102	蜘蛛侠：平行宇宙	Spider-Man: Into the Spider-Verse	8.6	" 鲍勃·佩尔西凯蒂 / 彼得·拉姆齐 / 罗德尼·罗斯曼
            
          "	" 美国
            
          "	 2018	超人类
103	X战警：逆转未来	X-Men: Days of Future Past	8.2	" 布莱恩·辛格
            
          "	" 美国/英国
            
          "	 2014	超人类
104	美国队长2	Captain America: The Winter Soldier	8.0	" 安东尼·罗素 / 乔·罗素
            
          "	" 美国
            
          "	 2014	超人类
105	美国队长3	Captain America: Civil War	7.9	" 安东尼·罗素 / 乔·罗素
            
          "	" 美国
            
          "	 2016	超人类
106	蜘蛛侠：英雄归来	Spider-Man: Homecoming	7.3	" 乔·沃茨
            
          "	" 美国
            
          "	 2017	超人类
107	金刚狼3：殊死一战	Logan	8.3	" 詹姆斯·曼高德
            
          "	" 美国
            
          "	 2017	超人类
108	复仇者联盟2：奥创纪元	Avengers: Age of Ultron	7.5	" 乔斯·韦登
            
          "	" 美国
            
          "	 2015	超人类
109	X战警：天启	X-Men: Apocalypse	7.7	" 布莱恩·辛格
            
          "	" 美国
            
          "	 2016	超人类
110	奇异博士	Doctor Strange	7.6	" 斯科特·德瑞克森
            
          "	" 美国
            
          "	 2016	超人类
111	神奇女侠	Wonder Woman	7.1	" 派蒂·杰金斯
            
          "	" 美国/中国大陆/中国香港
            
          "	 2017	超人类
112	超人：解放	Superman: Unbound	6.4	" 詹姆斯·塔克
            
          "	" 美国
            
          "	 2013	超人类
113	超人3	Superman III	6.5	" 理查德·莱斯特
            
          "	" 英国/美国
            
          "	 1983	超人类
114	超人2	Superman II	6.9	" 理查德·唐纳 / 理查德·莱斯特
            
          "	" 美国/英国
            
          "	 1980	超人类
115	超人	Superman	7.7	" 理查德·唐纳
            
          "	" 美国/英国/加拿大/瑞士
            
          "	 1978	超人类
116	移魂都市	Dark City	7.9	" 亚历克斯·普罗亚斯
            
          "	" 澳大利亚
            
          "	 1998	未来恐惧
117	勇敢者游戏：决战丛林	Jumanji: Welcome to the Jungle	6.8	" 杰克·卡斯丹
            
          "	" 美国/印度/加拿大/英国/澳大利亚/德国
            
          "	 2017	未来恐惧
118	环太平洋：雷霆再起	Pacific Rim: Uprising	5.5	" 斯蒂文·S·迪奈特
            
          "	" 英国/中国大陆/日本/美国/墨西哥
            
          "	 2018	未来恐惧
119	克隆人	Replicas	6.0	" 杰弗利·纳赫马诺夫
            
          "	" 英国/中国大陆/波多黎各/美国
            
          "	 2018	未来恐惧
120	蒙上你的眼	Bird Box	7.2	" 苏珊娜·比尔
            
          "	" 美国
            
          "	 2018	未来恐惧
121	掠食城市	Mortal Engines	6.3	" 克里斯蒂安·瑞沃斯
            
          "	" 美国/新西兰/日本
            
          "	 2018	未来恐惧
122	湮灭	Annihilation	7.2	" 亚历克斯·加兰
            
          "	" 美国/英国
            
          "	 2018	未来恐惧
123	头号玩家	Ready Player One	8.7	" 史蒂文·斯皮尔伯格
            
          "	" 美国
            
          "	 2018	未来恐惧
124	风之谷	風の谷のナウシカ	8.9	" 宫崎骏
            
          "	" 日本
            
          "	 1984	未来恐惧
125	最终幻想7：圣子降临	ファイナルファンタジーⅦ アドベントチルドレン	8.3	" 野村哲也 / 野末武志
            
          "	" 日本
            
          "	 2005	未来恐惧
126	魔神Z	劇場版 マジンガーZ / INFINITY	6.3	" 志水淳儿
            
          "	" 日本
            
          "	 2017	未来恐惧
127	极乐空间	Elysium	6.4	" 尼尔·布洛姆坎普
            
          "	" 美国
            
          "	 2013	未来恐惧
128	分歧者：异类觉醒	Divergent	6.6	" 尼尔·博格
            
          "	" 美国
            
          "	 2014	未来恐惧
129	分歧者2：绝地反击	Insurgent	6.1	" 罗伯特·斯文克
            
          "	" 美国
            
          "	 2015	未来恐惧
130	饥饿游戏3：嘲笑鸟(上)	The Hunger Games: Mockingjay - Part 1	6.2	" 弗朗西斯·劳伦斯
            
          "	" 美国
            
          "	 2014	未来恐惧
131	饥饿游戏3：嘲笑鸟(下)	The Hunger Games: Mockingjay - Part 2	6.5	" 弗朗西斯·劳伦斯
            
          "	" 美国
            
          "	 2015	未来恐惧
132	移动迷宫3：死亡解药	Maze Runner: The Death Cure	5.3	" 韦斯·鲍尔
            
          "	" 美国
            
          "	 2018	未来恐惧
133	移动迷宫2	Maze Runner: The Scorch Trials	6.0	" 韦斯·鲍尔
            
          "	" 美国
            
          "	 2015	未来恐惧
134	移动迷宫	The Maze Runner	7.0	" 韦斯·鲍尔
            
          "	" 美国/英国
            
          "	 2014	未来恐惧
135	人类清除计划3	The Purge: Election Year	6.3	" 詹姆斯·德莫纳克
            
          "	" 美国
            
          "	 2016	未来恐惧
136	人类清除计划4	The First Purge	5.6	" 杰拉德·麦克穆雷
            
          "	" 美国
            
          "	 2018	未来恐惧
137	人类清除计划	The Purge	6.0	" 詹姆斯·德莫纳克
            
          "	" 美国/法国
            
          "	 2013	未来恐惧
138	人类清除计划2：无政府状态	The Purge: Anarchy	6.4	" 詹姆斯·德莫纳克
            
          "	" 美国/法国
            
          "	 2014	未来恐惧
139	十二猴子	Twelve Monkeys	8.2	" 特瑞·吉列姆
            
          "	" 美国
            
          "	 1995	未来恐惧
